Customer_ID,Customer_Type,Nationality,Preferred_Location,Preferred_Property_Type,Budget_AED
CUST-003407,Investor,Indian,Dubai Marina,Apartment,755000.0
CUST-000758,Investor,Russian,Business Bay,Penthouse,2785000.0
CUST-003625,End User,Pakistani,Jumeirah Village Circle (JVC),Apartment,1340000.0
CUST-004545,Investor,Pakistani,Palm Jumeirah,Apartment,1260000.0
CUST-003236,Investor,German,Dubai Hills Estate,Studio,1815000.0
CUST-001869,Investor,Indian,Arabian Ranches,Apartment,1155000.0
CUST-002917,Investor,Nigerian,Business Bay,Townhouse,3220000.0
CUST-003336,Investor,Ukrainian,Jumeirah Village Circle (JVC),Apartment,1930000.0
CUST-003528,Investor,German,Jumeirah Village Circle (JVC),Apartment,1335000.0
CUST-002828,Investor,Indian,Jumeirah Village Circle (JVC),Apartment,1445000.0
CUST-004393,End User,Indian,Dubai Marina,Apartment,2025000.0
CUST-003485,Investor,Saudi,Dubai Creek Harbour,Apartment,1030000.0
CUST-002962,End User,Nigerian,Business Bay,Apartment,895000.0
CUST-003216,End User,Canadian,Downtown Dubai,Townhouse,580000.0
CUST-004302,End User,Russian,Al Furjan,Townhouse,2605000.0
CUST-000616,End User,Jordanian,Business Bay,Villa,6285000.0
CUST-000641,Investor,Russian,Al Furjan,Villa,7620000.0
CUST-003709,Investor,Indian,Dubai Hills Estate,Townhouse,2495000.0
CUST-002367,Investor,Egyptian,Dubai Silicon Oasis,Apartment,1345000.0
CUST-002756,Investor,Nigerian,Arabian Ranches,Apartment,2480000.0
CUST-002319,Investor,Indian,Downtown Dubai,Penthouse,3100000.0
CUST-004172,End User,Indian,Damac Hills 2,Studio,400000.0
CUST-004761,Investor,Nigerian,Dubai Creek Harbour,Studio,1120000.0
CUST-002191,End User,Nigerian,Business Bay,Apartment,
CUST-004715,Investor,British,Downtown Dubai,Villa,6250000.0
CUST-002868,End User,Filipino,Dubai Marina,Studio,1645000.0
CUST-003732,End User,German,Jumeirah Village Circle (JVC),Apartment,1330000.0
CUST-000471,Investor,Chinese,Al Furjan,Apartment,1490000.0
CUST-002531,End User,Egyptian,Downtown Dubai,Apartment,2110000.0
CUST-002212,Investor,Emirati,Dubai Hills Estate,Apartment,995000.0
CUST-000626,End User,British,Jumeirah Lake Towers (JLT),Apartment,1915000.0
CUST-004203,Investor,Nigerian,Dubai Marina,Studio,1455000.0
CUST-004820,Investor,American,Mohammed Bin Rashid City (MBR City),Apartment,680000.0
CUST-001875,End User,British,Jumeirah Village Circle (JVC),Apartment,510000.0
CUST-004576,Investor,Nigerian,Business Bay,Studio,2100000.0
CUST-002062,Investor,,Dubai Creek Harbour,Villa,3855000.0
CUST-003692,Investor,Filipino,,Townhouse,2445000.0
CUST-002289,Investor,Indian,Downtown Dubai,Apartment,625000.0
CUST-004127,Investor,,Al Furjan,Apartment,1490000.0
CUST-000371,End User,French,Downtown Dubai,Apartment,1265000.0
CUST-004399,Investor,Chinese,Jumeirah Lake Towers (JLT),Apartment,
CUST-003245,Investor,Nigerian,Dubai Marina,Apartment,1405000.0
CUST-001219,End User,,Dubai Marina,Studio,1775000.0
CUST-003504,Investor,French,Dubai Silicon Oasis,Apartment,1240000.0
CUST-003558,End User,Egyptian,Dubai Hills Estate,Townhouse,2315000.0
CUST-000276,Investor,Lebanese,Mohammed Bin Rashid City (MBR City),Apartment,965000.0
CUST-004551,End User,Chinese,Jumeirah Lake Towers (JLT),Apartment,1695000.0
