Property_ID,Project_Name,Developer_Name,Location,Property_Type,Bedrooms,Property_Price_AED,Payment_Plan
PROP-00367,Binghatti Jacob & Co,Binghatti Developers,Jumeirah Lake Towers (JLT),Apartment,3,2090000,Post Handover 60/40
PROP-00359,Haven,Aldar Properties,Dubai Hills Estate,Penthouse,5,10827000,DLD Waiver Offer
PROP-00588,Hayat Townhouses,Nshama,Business Bay,Apartment,2,1909000,50/50
PROP-00105,DAMAC Lagoons,DAMAC Properties,Arabian Ranches,Apartment,1,1367000,50/50
PROP-00152,1/JVC,Dubai Properties,Damac Hills 2,Studio,0,502000,Post Handover 60/40
PROP-00016,Hayat Townhouses,Nshama,Mohammed Bin Rashid City (MBR City),Apartment,2,1312000,50/50
PROP-00321,Wilton Terraces,Ellington Properties,Business Bay,Townhouse,4,3004000,60/40
PROP-00280,Safa Two,DAMAC Properties,Business Bay,Apartment,4,2477000,80/20
PROP-00066,Fay Alreeman,Aldar Properties,Jumeirah Village Circle (JVC),Apartment,3,2328000,60/40
PROP-00023,Wilton Terraces,Ellington Properties,Dubai Silicon Oasis,Apartment,4,2215000,80/20
PROP-00528,Mudon,Dubai Properties,Business Bay,Apartment,2,1745000,80/20
PROP-00351,Address Residences,Emaar Properties,Dubai Marina,Apartment,1,1075000,80/20
PROP-00511,Sobha One,Sobha Realty,Dubai South,Apartment,2,1612000,DLD Waiver Offer
PROP-00348,Sobha Hartland,Sobha Realty,Palm Jumeirah,Townhouse,4,3113000,Post Handover 60/40
PROP-00180,Danube Diamondz,Danube Properties,Damac Hills 2,Townhouse,3,2729000,50/50
PROP-00541,Deira Islands,Nakheel,Dubai Hills Estate,Villa,4,5074000,50/50
PROP-00479,Azizi Venice,Azizi Developments,Arabian Ranches,Villa,5,6578000,80/20
PROP-00052,Fay Alreeman,Aldar Properties,Dubai Marina,Townhouse,3,2620000,Post Handover 60/40
PROP-00324,Danube Diamondz,Danube Properties,Mohammed Bin Rashid City (MBR City),Apartment,3,1943000,60/40
PROP-00554,Palm Jebel Ali,Nakheel,Dubai Hills Estate,Apartment,1,1295000,DLD Waiver Offer
PROP-00404,1/JVC,Dubai Properties,Business Bay,Penthouse,3,7998000,Post Handover 60/40
PROP-00125,La Mer Residences,Meraas,Palm Jumeirah,Studio,0,568000,50/50
PROP-00414,Azizi Aliyah,Azizi Developments,Dubai Hills Estate,Studio,0,778000,80/20
PROP-00248,Binghatti Canal,Binghatti Developers,Arabian Ranches,Apartment,2,1737000,DLD Waiver Offer
PROP-00530,Address Residences,Emaar Properties,Al Furjan,Villa,6,6101000,1% Monthly
PROP-00458,Bluewaters Residences,Meraas,Mohammed Bin Rashid City (MBR City),Studio,0,599000,50/50
PROP-00396,Azizi Venice,Azizi Developments,Business Bay,Apartment,1,1169000,70/30
PROP-00110,Palm Jebel Ali,Nakheel,Palm Jumeirah,Apartment,2,1628000,50/50
PROP-00562,DAMAC Lagoons,DAMAC Properties,Business Bay,Apartment,2,2315000,60/40
PROP-00179,Hayat Townhouses,Nshama,Dubai Marina,Apartment,4,2327000,70/30
PROP-00361,Wilton Terraces,Ellington Properties,Downtown Dubai,Apartment,3,2322000,60/40
PROP-00409,Palm Jebel Ali,Nakheel,Palm Jumeirah,Studio,0,637000,Post Handover 60/40
PROP-00050,Villanova,Dubai Properties,Business Bay,Apartment,2,1504000,Post Handover 60/40
PROP-00177,DAMAC Lagoons,DAMAC Properties,Dubai Hills Estate,Apartment,3,2410000,50/50
PROP-00320,Dubai Hills Views,Emaar Properties,Downtown Dubai,Studio,0,642000,Post Handover 60/40
PROP-00363,Fay Alreeman,Aldar Properties,Mohammed Bin Rashid City (MBR City),Villa,4,5853000,60/40
PROP-00459,Azizi Venice,Azizi Developments,Arabian Ranches,Apartment,2,1789000,50/50
PROP-00467,Belgravia,Ellington Properties,Jumeirah Lake Towers (JLT),Apartment,1,1323000,80/20
PROP-00520,Binghatti Jacob & Co,Binghatti Developers,Business Bay,Apartment,2,1637000,60/40
PROP-00217,Haven,Aldar Properties,Dubai South,Apartment,3,1793000,60/40
PROP-00599,Azizi Venice,Azizi Developments,Damac Hills 2,Studio,0,714000,DLD Waiver Offer
PROP-00595,Sobha Seahaven,Sobha Realty,Jumeirah Village Circle (JVC),Apartment,3,2058000,1% Monthly
PROP-00162,Azizi Riviera,Azizi Developments,Arabian Ranches,Townhouse,3,3112000,DLD Waiver Offer
PROP-00150,Azizi Aliyah,Azizi Developments,Dubai Marina,Apartment,2,1815000,1% Monthly
PROP-00531,Azizi Riviera,Azizi Developments,Jumeirah Village Circle (JVC),Apartment,4,2255000,50/50
PROP-00128,Yas Acres,Aldar Properties,Mohammed Bin Rashid City (MBR City),Villa,4,4241000,DLD Waiver Offer
PROP-00142,Danube Oceanz,Danube Properties,Dubai Marina,Townhouse,4,2928000,60/40
PROP-00235,Mudon,Dubai Properties,Dubai Marina,Studio,0,626000,70/30
PROP-00546,Danube Oceanz,Danube Properties,Dubai Silicon Oasis,Apartment,1,1630000,70/30
