Lead_ID,Lead_Date,Marketing_Channel,Campaign_Name,Marketing_Cost_AED,Customer_ID,Property_ID,Agent_ID,Lead_Status,Qualification_Date,Site_Visit_Date,Negotiation_Date,Booking_Date,Lost_Reason
LEAD-003407,2026-02-27,Instagram,IG_Reels_OffPlan_Q1,166.48,CUST-003407,PROP-00367,AGT-0010,Lost,,,,,Found cheaper unit elsewhere
LEAD-000758,2024-06-23,Instagram,IG_Reels_OffPlan_Q1,158.09,CUST-000758,PROP-00359,,Lost,,,,,Budget mismatch
LEAD-003625,2025-01-16,Google Ads,GAds_Search_VillasForSale,165.55,CUST-003625,PROP-00588,AGT-0004,Lost,2025-01-21,,,,Unit sold out before decision
LEAD-004545,2025-08-17,Google Ads,GAds_Retargeting_OffPlan,188.17,CUST-004545,PROP-00105,AGT-0022,Lost,,,,,Not responsive / went cold
LEAD-003236,2024-01-31,Bayut,Bayut_HotDeal_Banner,417.75,CUST-003236,PROP-00152,AGT-0033,Lost,,,,,Financing / mortgage rejected
LEAD-001869,2024-03-20,Instagram,IG_Reels_OffPlan_Q1,80.6,CUST-001869,PROP-00016,AGT-0042,Lost,,,,,Unit sold out before decision
LEAD-002917,2025-02-07,Website,Website_Landing_NewLaunch,58.38,CUST-002917,PROP-00321,AGT-0040,Lost,,,,,Postponed decision
LEAD-003336,2025-12-21,Referral,Referral_PartnerBroker,8.56,CUST-003336,PROP-00280,AGT-0005,Lost,2025-12-27,,,,Visa / relocation fell through
LEAD-003528,2024-03-29,Website,Website_Organic_Blog,75.44,CUST-003528,PROP-00066,AGT-0007,Sold,2024-04-10,2024-04-22,2024-05-03,2024-05-22,
LEAD-002828,2025-06-18,Instagram,IG_Reels_OffPlan_Q1,138.21,CUST-002828,PROP-00023,AGT-0031,Lost,2025-06-25,,,,Visa / relocation fell through
LEAD-004393,2025-01-30,Instagram,IG_Story_LuxuryLiving,82.92,CUST-004393,PROP-00528,AGT-0016,Lost,,,,,Visa / relocation fell through
LEAD-003485,2024-07-23,Referral,Referral_PartnerBroker,34.98,CUST-003485,PROP-00351,AGT-0003,Lost,,,,,Budget mismatch
LEAD-002962,2025-10-11,Website,Website_Organic_Blog,52.42,CUST-002962,PROP-00511,AGT-0036,Lost,2025-10-23,2025-11-03,2025-11-11,2025-11-25,Financing / mortgage rejected
LEAD-003216,2024-08-06,Referral,Referral_AgentNetwork,0.05,CUST-003216,PROP-00348,AGT-0006,Sold,2024-08-14,2024-08-25,2024-09-02,2024-09-09,
LEAD-004302,2026-03-23,Google Ads,GAds_Retargeting_OffPlan,127.46,CUST-004302,PROP-00180,AGT-0003,Lost,,,,,Not responsive / went cold
LEAD-000616,2025-03-15,Google Ads,GAds_Search_Apartments_Dubai,89.89,CUST-000616,PROP-00541,AGT-0033,Lost,,,,,Chose competitor project
LEAD-000641,2025-04-30,Google Ads,GAds_Search_Apartments_Dubai,341.79,CUST-000641,PROP-00479,AGT-0015,Lost,2025-05-13,2025-05-21,2025-06-01,,Found cheaper unit elsewhere
LEAD-003709,2024-03-26,Instagram,IG_Influencer_Push,146.4,CUST-003709,PROP-00052,AGT-0025,Lost,,,,,Not responsive / went cold
LEAD-002367,2024-10-05,Bayut,Bayut_Featured_Listing,164.88,CUST-002367,PROP-00324,AGT-0041,Sold,2024-10-13,2024-10-26,2024-10-29,2024-11-06,
